dataset,noise_type,seed,pair,spearman_corr,spearman_p
CiteSeer,low_feature_similarity,4,feature_vs_pos_grad,0.02082983246353653,0.0234536538701375
CiteSeer,low_feature_similarity,4,feature_vs_neg_grad,0.014411428911215728,0.1169625052794952
CiteSeer,low_feature_similarity,4,feature_vs_hybrid,0.9229535730179832,0.0
CiteSeer,low_feature_similarity,5,feature_vs_raw_grad,0.03333622617393432,0.00028664525737482477
CiteSeer,low_feature_similarity,5,feature_vs_pos_grad,0.03677061481540639,6.307749923538859e-05
CiteSeer,low_feature_similarity,5,feature_vs_neg_grad,-0.005467093276016737,0.55206078013347
CiteSeer,low_feature_similarity,5,feature_vs_hybrid,0.9222453800460587,0.0
CiteSeer,low_feature_similarity,6,feature_vs_raw_grad,0.02085567328235934,0.023282035867528632
CiteSeer,low_feature_similarity,6,feature_vs_pos_grad,0.035089664780215774,0.00013455252547929015
CiteSeer,low_feature_similarity,6,feature_vs_neg_grad,0.023841498374499736,0.009495681967416153
CiteSeer,low_feature_similarity,6,feature_vs_hybrid,0.9225259931168674,0.0
CiteSeer,low_feature_similarity,7,feature_vs_raw_grad,0.01537473060851575,0.09443566214528243
CiteSeer,low_feature_similarity,7,feature_vs_pos_grad,0.028287732832705186,0.00208710625544587
CiteSeer,low_feature_similarity,7,feature_vs_neg_grad,0.01666361506953679,0.06988239030302051
CiteSeer,low_feature_similarity,7,feature_vs_hybrid,0.9240166014700615,0.0
CiteSeer,low_feature_similarity,8,feature_vs_raw_grad,0.018748343245237175,0.04140143409238842
CiteSeer,low_feature_similarity,8,feature_vs_pos_grad,0.014817318074335065,0.10700369371471508
CiteSeer,low_feature_similarity,8,feature_vs_neg_grad,-0.014971307554829892,0.10340603032279119
CiteSeer,low_feature_similarity,8,feature_vs_hybrid,0.9222359673551923,0.0
CiteSeer,low_feature_similarity,9,feature_vs_raw_grad,0.014753989210862083,0.10851172605458563
CiteSeer,low_feature_similarity,9,feature_vs_pos_grad,0.03485212155854104,0.00014937194943927888
CiteSeer,low_feature_similarity,9,feature_vs_neg_grad,0.027377055050672294,0.002897250635416787
CiteSeer,low_feature_similarity,9,feature_vs_hybrid,0.9249658601110539,0.0
PubMed,feature_similar_cross_class,0,feature_vs_raw_grad,-0.04532698815770615,1.7671682733580892e-53
PubMed,feature_similar_cross_class,0,feature_vs_pos_grad,-0.0929424696231422,1.9866829747186e-219
PubMed,feature_similar_cross_class,0,feature_vs_neg_grad,-0.061212324819995216,4.399199257335928e-96
PubMed,feature_similar_cross_class,0,feature_vs_hybrid,0.9404443196970563,0.0
PubMed,feature_similar_cross_class,1,feature_vs_raw_grad,-0.005518840975859292,0.0610004604904371
PubMed,feature_similar_cross_class,1,feature_vs_pos_grad,-0.010026644973439516,0.0006644928741349948
PubMed,feature_similar_cross_class,1,feature_vs_neg_grad,-0.0047223237904035105,0.10891400287082358
PubMed,feature_similar_cross_class,1,feature_vs_hybrid,0.9403345554794996,0.0
PubMed,feature_similar_cross_class,2,feature_vs_raw_grad,0.0025280385358233334,0.3907857932088311
PubMed,feature_similar_cross_class,2,feature_vs_pos_grad,0.019750111030208597,2.011127171292772e-11
PubMed,feature_similar_cross_class,2,feature_vs_neg_grad,0.02167274066346271,1.8655009453654956e-13
PubMed,feature_similar_cross_class,2,feature_vs_hybrid,0.9423779378540359,0.0
PubMed,feature_similar_cross_class,3,feature_vs_raw_grad,-0.0044135559542554164,0.13406190487598857
PubMed,feature_similar_cross_class,3,feature_vs_pos_grad,-0.03101288422954812,6.252871997250758e-26
PubMed,feature_similar_cross_class,3,feature_vs_neg_grad,-0.04096495384885543,5.341888518901164e-44
PubMed,feature_similar_cross_class,3,feature_vs_hybrid,0.9387224432036725,0.0
PubMed,feature_similar_cross_class,4,feature_vs_raw_grad,0.007167628599168901,0.014965117712591552
PubMed,feature_similar_cross_class,4,feature_vs_pos_grad,0.013262764851584213,6.715832741350099e-06
PubMed,feature_similar_cross_class,4,feature_vs_neg_grad,0.008469759607572505,0.004036743222303502
PubMed,feature_similar_cross_class,4,feature_vs_hybrid,0.9399686618460612,0.0
PubMed,feature_similar_cross_class,5,feature_vs_raw_grad,0.0014962426296573433,0.6115031850688757
PubMed,feature_similar_cross_class,5,feature_vs_pos_grad,0.0032192121524531546,0.2744697756783793
PubMed,feature_similar_cross_class,5,feature_vs_neg_grad,0.002631960808114881,0.3716045639005265
PubMed,feature_similar_cross_class,5,feature_vs_hybrid,0.940160569781654,0.0
PubMed,feature_similar_cross_class,6,feature_vs_raw_grad,-0.041811498905106576,9.169698552926472e-46
PubMed,feature_similar_cross_class,6,feature_vs_pos_grad,-0.06782570045498358,1.4274301345062537e-117
PubMed,feature_similar_cross_class,6,feature_vs_neg_grad,-0.029134617797087252,4.49074735065466e-23
PubMed,feature_similar_cross_class,6,feature_vs_hybrid,0.9393768646603755,0.0
PubMed,feature_similar_cross_class,7,feature_vs_raw_grad,0.0058838429222264595,0.04578151518008673
PubMed,feature_similar_cross_class,7,feature_vs_pos_grad,-0.024045457522230536,3.244359677937742e-16
PubMed,feature_similar_cross_class,7,feature_vs_neg_grad,-0.044037379180826335,1.4105084509792256e-50
PubMed,feature_similar_cross_class,7,feature_vs_hybrid,0.9408270314570429,0.0
PubMed,feature_similar_cross_class,8,feature_vs_raw_grad,0.01912378864988397,8.440363266066841e-11
PubMed,feature_similar_cross_class,8,feature_vs_pos_grad,0.016306109156905606,3.0982201802984005e-08
PubMed,feature_similar_cross_class,8,feature_vs_neg_grad,-0.01111986934472665,0.00016002531138440695
PubMed,feature_similar_cross_class,8,feature_vs_hybrid,0.9387250367533483,0.0
PubMed,feature_similar_cross_class,9,feature_vs_raw_grad,-0.021521905772402965,2.734256464528264e-13
PubMed,feature_similar_cross_class,9,feature_vs_pos_grad,-0.01617496697471569,3.990624270454844e-08
PubMed,feature_similar_cross_class,9,feature_vs_neg_grad,0.015876412551464405,7.049826106986456e-08
PubMed,feature_similar_cross_class,9,feature_vs_hybrid,0.940143064412571,0.0
PubMed,cross_class_oracle,0,feature_vs_raw_grad,-0.027988241225090447,2.03901479141587e-21
PubMed,cross_class_oracle,0,feature_vs_pos_grad,-0.0890867387202921,1.0629948519933837e-201
PubMed,cross_class_oracle,0,feature_vs_neg_grad,-0.07799776803524498,5.968694802168191e-155
PubMed,cross_class_oracle,0,feature_vs_hybrid,0.9395285861335618,0.0
PubMed,cross_class_oracle,1,feature_vs_raw_grad,-0.006753266352996188,0.02187371375428837
PubMed,cross_class_oracle,1,feature_vs_pos_grad,-0.03136967914121297,1.7126724839855313e-26
PubMed,cross_class_oracle,1,feature_vs_neg_grad,-0.036616825333873185,1.6987900805923417e-35
PubMed,cross_class_oracle,1,feature_vs_hybrid,0.937820426118721,0.0
PubMed,cross_class_oracle,2,feature_vs_raw_grad,-0.016213152863504634,3.707817475344442e-08
PubMed,cross_class_oracle,2,feature_vs_pos_grad,-0.02117699159283193,6.491118212904408e-13
PubMed,cross_class_oracle,2,feature_vs_neg_grad,-0.0011089635012806983,0.7065754428610536
PubMed,cross_class_oracle,2,feature_vs_hybrid,0.9399200671699554,0.0
PubMed,cross_class_oracle,3,feature_vs_raw_grad,-0.01489932759372875,4.2334979427794855e-07
PubMed,cross_class_oracle,3,feature_vs_pos_grad,-0.058045453925081134,1.4158348664491192e-86
PubMed,cross_class_oracle,3,feature_vs_neg_grad,-0.05799317017629575,2.0124913103129836e-86
PubMed,cross_class_oracle,3,feature_vs_hybrid,0.9376142170327929,0.0
