dataset,noise_type,seed,score,auc
CiteSeer,cross_class_oracle,6,shuffled_hybrid,0.7572556763681545
CiteSeer,cross_class_oracle,7,feature_risk,0.8987818018244205
CiteSeer,cross_class_oracle,7,raw_grad,0.49076365016061857
CiteSeer,cross_class_oracle,7,pos_grad,0.4822703621802919
CiteSeer,cross_class_oracle,7,neg_grad,0.49127119585160006
CiteSeer,cross_class_oracle,7,hybrid,0.7500773318655569
CiteSeer,cross_class_oracle,7,shuffled_hybrid,0.7526704037029169
CiteSeer,cross_class_oracle,8,feature_risk,0.9009483413481657
CiteSeer,cross_class_oracle,8,raw_grad,0.46343743763559225
CiteSeer,cross_class_oracle,8,pos_grad,0.44746756246097197
CiteSeer,cross_class_oracle,8,neg_grad,0.48521641656527414
CiteSeer,cross_class_oracle,8,hybrid,0.7587050252032678
CiteSeer,cross_class_oracle,8,shuffled_hybrid,0.7555866438775051
CiteSeer,cross_class_oracle,9,feature_risk,0.9027516786084449
CiteSeer,cross_class_oracle,9,raw_grad,0.4967527858784449
CiteSeer,cross_class_oracle,9,pos_grad,0.48084330359154615
CiteSeer,cross_class_oracle,9,neg_grad,0.4825852622041111
CiteSeer,cross_class_oracle,9,hybrid,0.775295084236209
CiteSeer,cross_class_oracle,9,shuffled_hybrid,0.7674106136979598
CiteSeer,low_feature_similarity,0,feature_risk,0.9871485061511424
CiteSeer,low_feature_similarity,0,raw_grad,0.4712849321153363
CiteSeer,low_feature_similarity,0,pos_grad,0.45678744037157926
CiteSeer,low_feature_similarity,0,neg_grad,0.48558887290214175
CiteSeer,low_feature_similarity,0,hybrid,0.892219979785885
CiteSeer,low_feature_similarity,0,shuffled_hybrid,0.8879569902856371
CiteSeer,low_feature_similarity,1,feature_risk,0.9871485061511424
CiteSeer,low_feature_similarity,1,raw_grad,0.5017958937664561
CiteSeer,low_feature_similarity,1,pos_grad,0.4932282312005511
CiteSeer,low_feature_similarity,1,neg_grad,0.49039463392495025
CiteSeer,low_feature_similarity,1,hybrid,0.899800755776151
CiteSeer,low_feature_similarity,1,shuffled_hybrid,0.8958742121967077
CiteSeer,low_feature_similarity,2,feature_risk,0.9871485061511424
CiteSeer,low_feature_similarity,2,raw_grad,0.47647499871247667
CiteSeer,low_feature_similarity,2,pos_grad,0.46591292238809817
CiteSeer,low_feature_similarity,2,neg_grad,0.4891718489477716
CiteSeer,low_feature_similarity,2,hybrid,0.883500067594971
CiteSeer,low_feature_similarity,2,shuffled_hybrid,0.882918428964123
CiteSeer,low_feature_similarity,3,feature_risk,0.9871485061511424
CiteSeer,low_feature_similarity,3,raw_grad,0.4773635909345487
CiteSeer,low_feature_similarity,3,pos_grad,0.46973964268010837
CiteSeer,low_feature_similarity,3,neg_grad,0.4923217343582019
CiteSeer,low_feature_similarity,3,hybrid,0.8803787893418825
CiteSeer,low_feature_similarity,3,shuffled_hybrid,0.8797790449152487
CiteSeer,low_feature_similarity,4,feature_risk,0.9871485061511424
CiteSeer,low_feature_similarity,4,raw_grad,0.47436710184952713
CiteSeer,low_feature_similarity,4,pos_grad,0.46461173931516636
CiteSeer,low_feature_similarity,4,neg_grad,0.4907195122540027
CiteSeer,low_feature_similarity,4,hybrid,0.8895931909332613
CiteSeer,low_feature_similarity,4,shuffled_hybrid,0.8864832589788654
CiteSeer,low_feature_similarity,5,feature_risk,0.9871485061511424
CiteSeer,low_feature_similarity,5,raw_grad,0.476827518556429
CiteSeer,low_feature_similarity,5,pos_grad,0.46395439834038255
CiteSeer,low_feature_similarity,5,neg_grad,0.48695922011497583
CiteSeer,low_feature_similarity,5,hybrid,0.8880691657493064
CiteSeer,low_feature_similarity,5,shuffled_hybrid,0.892500740325872
CiteSeer,low_feature_similarity,6,feature_risk,0.9871485061511424
CiteSeer,low_feature_similarity,6,raw_grad,0.47889272597642546
CiteSeer,low_feature_similarity,6,pos_grad,0.4742440226732845
CiteSeer,low_feature_similarity,6,neg_grad,0.4963061963666094
CiteSeer,low_feature_similarity,6,hybrid,0.8841386791298916
CiteSeer,low_feature_similarity,6,shuffled_hybrid,0.8888030540051631
CiteSeer,low_feature_similarity,7,feature_risk,0.9871485061511424
CiteSeer,low_feature_similarity,7,raw_grad,0.4856189486406973
CiteSeer,low_feature_similarity,7,pos_grad,0.47579178656726984
CiteSeer,low_feature_similarity,7,neg_grad,0.4905036509331325
CiteSeer,low_feature_similarity,7,hybrid,0.8961934374939647
CiteSeer,low_feature_similarity,7,shuffled_hybrid,0.8964459529925257
CiteSeer,low_feature_similarity,8,feature_risk,0.9871485061511424
CiteSeer,low_feature_similarity,8,raw_grad,0.46667231969846207
CiteSeer,low_feature_similarity,8,pos_grad,0.4523535321591121
CiteSeer,low_feature_similarity,8,neg_grad,0.48622006106079046
CiteSeer,low_feature_similarity,8,hybrid,0.8892710687086784
CiteSeer,low_feature_similarity,8,shuffled_hybrid,0.8919747870758414
CiteSeer,low_feature_similarity,9,feature_risk,0.9871485061511424
CiteSeer,low_feature_similarity,9,raw_grad,0.49622630957209163
CiteSeer,low_feature_similarity,9,pos_grad,0.477998480722558
CiteSeer,low_feature_similarity,9,neg_grad,0.4791562256577635
CiteSeer,low_feature_similarity,9,hybrid,0.9107446229810027
CiteSeer,low_feature_similarity,9,shuffled_hybrid,0.8986117280493379
PubMed,feature_similar_cross_class,0,feature_risk,0.7733831249807381
PubMed,feature_similar_cross_class,0,raw_grad,0.48396143681078346
PubMed,feature_similar_cross_class,0,pos_grad,0.47179786851701805
PubMed,feature_similar_cross_class,0,neg_grad,0.48779684154482056
PubMed,feature_similar_cross_class,0,hybrid,0.6137211009128112
PubMed,feature_similar_cross_class,0,shuffled_hybrid,0.6131828377713259
PubMed,feature_similar_cross_class,1,feature_risk,0.7743381516229052
PubMed,feature_similar_cross_class,1,raw_grad,0.4841308576666924
PubMed,feature_similar_cross_class,1,pos_grad,0.47006495823581135
PubMed,feature_similar_cross_class,1,neg_grad,0.48597227609933386
PubMed,feature_similar_cross_class,1,hybrid,0.6218779526343571
PubMed,feature_similar_cross_class,1,shuffled_hybrid,0.6199213289274369
PubMed,feature_similar_cross_class,2,feature_risk,0.7732676868331378
PubMed,feature_similar_cross_class,2,raw_grad,0.5036396882807429
PubMed,feature_similar_cross_class,2,pos_grad,0.4974827520104867
PubMed,feature_similar_cross_class,2,neg_grad,0.49364487771637783
PubMed,feature_similar_cross_class,2,hybrid,0.6145656454946126
PubMed,feature_similar_cross_class,2,shuffled_hybrid,0.6122206043573241
PubMed,feature_similar_cross_class,3,feature_risk,0.7735447653650531
PubMed,feature_similar_cross_class,3,raw_grad,0.4798817163609795
PubMed,feature_similar_cross_class,3,pos_grad,0.460127030267668
PubMed,feature_similar_cross_class,3,neg_grad,0.47992677777292375
PubMed,feature_similar_cross_class,3,hybrid,0.6200917090602439
PubMed,feature_similar_cross_class,3,shuffled_hybrid,0.6181662734113531
PubMed,feature_similar_cross_class,4,feature_risk,0.7747279026666137
PubMed,feature_similar_cross_class,4,raw_grad,0.48645749693352075
PubMed,feature_similar_cross_class,4,pos_grad,0.47810553236293746
PubMed,feature_similar_cross_class,4,neg_grad,0.491590093238372
PubMed,feature_similar_cross_class,4,hybrid,0.6134203855266454
PubMed,feature_similar_cross_class,4,shuffled_hybrid,0.6124617067181746
PubMed,feature_similar_cross_class,5,feature_risk,0.770578548851821
PubMed,feature_similar_cross_class,5,raw_grad,0.4893406463875905
PubMed,feature_similar_cross_class,5,pos_grad,0.4852367906752425
PubMed,feature_similar_cross_class,5,neg_grad,0.4959588928313546
PubMed,feature_similar_cross_class,5,hybrid,0.6064288734767226
PubMed,feature_similar_cross_class,5,shuffled_hybrid,0.6062682629948217
PubMed,feature_similar_cross_class,6,feature_risk,0.7743790915163956
PubMed,feature_similar_cross_class,6,raw_grad,0.48694103102678926
PubMed,feature_similar_cross_class,6,pos_grad,0.47320170588895893
PubMed,feature_similar_cross_class,6,neg_grad,0.48591847409054306
PubMed,feature_similar_cross_class,6,hybrid,0.6165995534519589
PubMed,feature_similar_cross_class,6,shuffled_hybrid,0.6152771460270027
PubMed,feature_similar_cross_class,7,feature_risk,0.7719536357004206
PubMed,feature_similar_cross_class,7,raw_grad,0.4954839775960559
PubMed,feature_similar_cross_class,7,pos_grad,0.4792024827815078
PubMed,feature_similar_cross_class,7,neg_grad,0.4831995175075165
PubMed,feature_similar_cross_class,7,hybrid,0.6201420096977511
PubMed,feature_similar_cross_class,7,shuffled_hybrid,0.6185582607176345
PubMed,feature_similar_cross_class,8,feature_risk,0.7759510916344593
PubMed,feature_similar_cross_class,8,raw_grad,0.48067681332576584
PubMed,feature_similar_cross_class,8,pos_grad,0.47056511901766085
PubMed,feature_similar_cross_class,8,neg_grad,0.48976079927675675
PubMed,feature_similar_cross_class,8,hybrid,0.6137522694586861
PubMed,feature_similar_cross_class,8,shuffled_hybrid,0.6128716384197295
PubMed,feature_similar_cross_class,9,feature_risk,0.7731816407770014
PubMed,feature_similar_cross_class,9,raw_grad,0.4886173694216252
PubMed,feature_similar_cross_class,9,pos_grad,0.48285190402182293
PubMed,feature_similar_cross_class,9,neg_grad,0.4943368771229096
PubMed,feature_similar_cross_class,9,hybrid,0.613108961361095
PubMed,feature_similar_cross_class,9,shuffled_hybrid,0.611976837314857
PubMed,cross_class_oracle,0,feature_risk,0.9142127607155544
PubMed,cross_class_oracle,0,raw_grad,0.48895737465169714
PubMed,cross_class_oracle,0,pos_grad,0.475637411524511
PubMed,cross_class_oracle,0,neg_grad,0.4865975433013222
