dataset,noise_type,seed,score,residual_auc,residual_direction,residual_spearman,residual_spearman_p
CiteSeer,feature_similar_cross_class,0,hybrid,0.9156552366789624,negative,-0.6065823490353663,0.0
CiteSeer,feature_similar_cross_class,1,raw_grad,0.654366454064389,negative,-0.225273569266429,5.01874514879462e-136
CiteSeer,feature_similar_cross_class,1,pos_grad,0.6884739107553255,negative,-0.2750482614098393,2.0401404622968396e-204
CiteSeer,feature_similar_cross_class,1,hybrid,0.8984060462092096,negative,-0.5814099139216536,0.0
CiteSeer,feature_similar_cross_class,2,raw_grad,0.6640461947250172,negative,-0.239399471871237,7.020164777013781e-154
CiteSeer,feature_similar_cross_class,2,pos_grad,0.7037658848181695,negative,-0.2973642091117305,3.3287213228367223e-240
CiteSeer,feature_similar_cross_class,2,hybrid,0.9012349762130079,negative,-0.585538284889649,0.0
CiteSeer,feature_similar_cross_class,3,raw_grad,0.671264351860793,negative,-0.24993322912718252,5.502768790374463e-168
CiteSeer,feature_similar_cross_class,3,pos_grad,0.7055812724914219,negative,-0.30001347003373996,1.1322659871078984e-244
CiteSeer,feature_similar_cross_class,3,hybrid,0.9138623605451373,negative,-0.6039659330232061,0.0
CiteSeer,feature_similar_cross_class,4,raw_grad,0.6667936486477788,negative,-0.24340895447913335,3.6115568704504666e-159
CiteSeer,feature_similar_cross_class,4,pos_grad,0.7049654742591913,negative,-0.29911484591150195,3.7575239158690783e-243
CiteSeer,feature_similar_cross_class,4,hybrid,0.9036380981350225,negative,-0.5890452570325058,0.0
CiteSeer,feature_similar_cross_class,5,raw_grad,0.6729475068721553,negative,-0.2523895956176148,2.2525633855880335e-171
CiteSeer,feature_similar_cross_class,5,pos_grad,0.7019675769456086,negative,-0.2947399373997937,7.978445416804973e-236
CiteSeer,feature_similar_cross_class,5,hybrid,0.9148474767762993,negative,-0.6054035526280737,0.0
CiteSeer,feature_similar_cross_class,6,raw_grad,0.6791793608412677,negative,-0.26148409278581825,3.0266125456542094e-184
CiteSeer,feature_similar_cross_class,6,pos_grad,0.6990412377604821,negative,-0.29046947383449623,8.520137378104915e-229
CiteSeer,feature_similar_cross_class,6,hybrid,0.9265953217842496,negative,-0.6225476537811219,0.0
CiteSeer,feature_similar_cross_class,7,raw_grad,0.6578650772192072,negative,-0.2303792077497428,2.434637447256962e-142
CiteSeer,feature_similar_cross_class,7,pos_grad,0.6917867080927274,negative,-0.27988263501242716,6.829824192728162e-212
CiteSeer,feature_similar_cross_class,7,hybrid,0.9009603314084861,negative,-0.5851374847052125,0.0
CiteSeer,feature_similar_cross_class,8,raw_grad,0.6635954811152527,negative,-0.23874165780688955,5.065688970511892e-153
CiteSeer,feature_similar_cross_class,8,pos_grad,0.7048213320071843,negative,-0.2989044266755966,8.516401292545629e-243
CiteSeer,feature_similar_cross_class,8,hybrid,0.9001494331678865,negative,-0.5839541083966647,0.0
CiteSeer,feature_similar_cross_class,9,raw_grad,0.6552308649903114,negative,-0.22653490168018894,1.4297209929463044e-137
CiteSeer,feature_similar_cross_class,9,pos_grad,0.6964183718302785,negative,-0.2866417549298036,1.3406798768083941e-222
CiteSeer,feature_similar_cross_class,9,hybrid,0.8909205469398791,negative,-0.5704860247728083,0.0
CiteSeer,cross_class_oracle,0,raw_grad,0.7276078381197011,negative,-0.33221033857917226,7.66988368270045e-303
CiteSeer,cross_class_oracle,0,pos_grad,0.7764097776125457,negative,-0.40345774258828226,0.0
CiteSeer,cross_class_oracle,0,hybrid,0.870911308960518,negative,-0.5412857418486103,0.0
CiteSeer,cross_class_oracle,1,raw_grad,0.7355983885037048,negative,-0.34388513544903343,0.0
CiteSeer,cross_class_oracle,1,pos_grad,0.7810313624571094,negative,-0.410218042150789,0.0
CiteSeer,cross_class_oracle,1,hybrid,0.8650449506556712,negative,-0.5327247301713052,0.0
CiteSeer,cross_class_oracle,2,raw_grad,0.7344858275877608,negative,-0.3422474676374812,0.0
CiteSeer,cross_class_oracle,2,pos_grad,0.7796724017780696,negative,-0.4082185810534717,0.0
