test_acc,test_f1,val_acc,runtime,num_edges_after,actual_prune_ratio,dataset,noise_type,noise_ratio,seed,method,downstream_model
0.558,0.539498400441195,0.57,0.6145310401916504,9876,0.16545546729761706,CiteSeer,feature_similar_cross_class,0.3,8,DegreeAwareRandom,GCN
0.556,0.5377424101856048,0.592,3.020916223526001,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,8,StabilityResidual-frozen,GCN
0.592,0.5646468220909965,0.568,1.1344151496887207,12579,-0.06295419976339356,CiteSeer,feature_similar_cross_class,0.3,8,IDGL-Proxy,GCN
0.546,0.527778501797824,0.576,1.7068743705749512,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,8,ProGNN-Proxy,GCN
0.565,0.5406311192209351,0.584,3.4138479232788086,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,8,LDS-Proxy,GCN
0.563,0.5398348614321103,0.572,0.82159423828125,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,9,Feature-only,GCN
0.544,0.5221276264527022,0.558,0.7559750080108643,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,9,Random-Matched,GCN
0.56,0.5373121323756237,0.568,0.6876344680786133,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,9,GCN-Jaccard,GCN
0.527,0.498084488058369,0.588,0.2697126865386963,9842,0.16832854487071147,CiteSeer,feature_similar_cross_class,0.3,9,DegreeAwareRandom,GCN
0.572,0.5442140566109678,0.592,3.4153549671173096,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,9,StabilityResidual-frozen,GCN
0.567,0.5386224144727186,0.58,0.7484416961669922,12455,-0.05247591684975483,CiteSeer,feature_similar_cross_class,0.3,9,IDGL-Proxy,GCN
0.542,0.5167896355289376,0.61,2.1078782081604004,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,9,ProGNN-Proxy,GCN
0.548,0.5224218129626294,0.592,4.032795429229736,9468,0.19993239817475073,CiteSeer,feature_similar_cross_class,0.3,9,LDS-Proxy,GCN
0.687,0.685321459025004,0.68,4.1093504428863525,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,0,Feature-only,GCN
0.618,0.6139152603393616,0.648,3.906418561935425,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,0,Random-Matched,GCN
0.668,0.6686505388835897,0.692,1.7343435287475586,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,0,GCN-Jaccard,GCN
0.597,0.5880826827401405,0.642,1.2361698150634766,85702,0.25633015740788945,PubMed,feature_similar_cross_class,0.3,0,DegreeAwareRandom,GCN
0.685,0.6841213096691175,0.702,16.573296785354614,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,0,StabilityResidual-frozen,GCN
0.628,0.6260622086391257,0.634,2.250218391418457,80041,0.3054528730844658,PubMed,feature_similar_cross_class,0.3,0,IDGL-Proxy,GCN
0.692,0.6911005957437558,0.67,349.28931307792664,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,0,ProGNN-Proxy,GCN
0.679,0.6760552314757234,0.69,7.5153162479400635,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,0,LDS-Proxy,GCN
0.66,0.6609803118857446,0.68,3.9004876613616943,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,1,Feature-only,GCN
0.64,0.6450919662714915,0.664,3.8202147483825684,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,1,Random-Matched,GCN
0.666,0.6625813241484884,0.704,2.433927536010742,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,1,GCN-Jaccard,GCN
0.624,0.623891079513454,0.646,1.1786153316497803,85764,0.25579215910865827,PubMed,feature_similar_cross_class,0.3,1,DegreeAwareRandom,GCN
0.673,0.6690256627037953,0.714,16.710582733154297,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,1,StabilityResidual-frozen,GCN
0.625,0.6290402015941461,0.64,2.2490720748901367,80915,0.2978688325436907,PubMed,feature_similar_cross_class,0.3,1,IDGL-Proxy,GCN
0.677,0.6806119361797798,0.704,354.86535811424255,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,1,ProGNN-Proxy,GCN
0.66,0.661426826742467,0.714,7.429618835449219,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,1,LDS-Proxy,GCN
0.658,0.660477235445098,0.658,4.233459711074829,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,2,Feature-only,GCN
0.623,0.6223046421830901,0.646,4.022712469100952,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,2,Random-Matched,GCN
0.653,0.6544449921172218,0.7,1.9019670486450195,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,2,GCN-Jaccard,GCN
0.624,0.620289564126791,0.636,1.5720486640930176,85660,0.25669460786865894,PubMed,feature_similar_cross_class,0.3,2,DegreeAwareRandom,GCN
0.673,0.6681629211097597,0.68,17.365083932876587,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,2,StabilityResidual-frozen,GCN
0.627,0.6293188913685808,0.628,2.3822526931762695,80961,0.2974696725152288,PubMed,feature_similar_cross_class,0.3,2,IDGL-Proxy,GCN
0.709,0.7105442880255199,0.706,354.6395800113678,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,2,ProGNN-Proxy,GCN
0.681,0.673037449673621,0.714,7.530510663986206,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,2,LDS-Proxy,GCN
0.655,0.6527869476754531,0.65,4.05932092666626,92194,0.19999652904323073,PubMed,feature_similar_cross_class,0.3,3,Feature-only,GCN
