method,noise_type,dataset,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,val_acc_mean,val_acc_std
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,degree_aligned_random,Cora,0.7226666666666667,0.013503086067019394,0.7129534004025615,0.011599058961674989,0.7073333333333333,0.020231987873991317
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,degree_aligned_random,PubMed,0.7506666666666666,0.021455380055672105,0.7510154200105931,0.017179647731918764,0.7479999999999999,0.015620499351813323
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,feature_similar_cross_class,CiteSeer,0.5636666666666666,0.010115993936995624,0.5457004270425861,0.008584524683749149,0.5726666666666667,0.013613718571108081
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,feature_similar_cross_class,Cora,0.6153333333333334,0.014047538337136985,0.6028347322637252,0.014665029247198924,0.6153333333333334,0.009018499505645781
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,feature_similar_cross_class,PubMed,0.669,0.011269427669584654,0.6679617320603694,0.011853083280160956,0.6733333333333333,0.025324559884296723
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,low_feature_similarity,CiteSeer,0.6343333333333333,0.01903505538035894,0.6115263761312626,0.019128805135073687,0.6466666666666666,0.004163331998932284
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,low_feature_similarity,Cora,0.7040000000000001,0.01200000000000001,0.6968524017998398,0.00977403099988473,0.68,0.024331050121192792
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,low_feature_similarity,PubMed,0.749,0.0010000000000000009,0.744933188098202,0.002446049900305048,0.7600000000000001,0.015099668870541512
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,random_inter_community,CiteSeer,0.6186666666666666,0.002081665999466139,0.5918042765790024,0.004094196742696001,0.6266666666666666,0.003055050463303881
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,random_inter_community,Cora,0.7440000000000001,0.0034641016151377574,0.7351436263783725,0.003679416113800959,0.7093333333333334,0.01858314648635514
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,random_inter_community,PubMed,0.7466666666666667,0.006429100507328626,0.74262952585112,0.005250867641727333,0.75,0.0
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,cross_class_oracle,CiteSeer,0.5996666666666667,0.03507610772781575,0.5730849865783298,0.0329252751585905,0.614,0.010000000000000009
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,cross_class_oracle,Cora,0.6766666666666667,0.016802777548171364,0.6530566138931289,0.021810198272408054,0.6593333333333334,0.01137248140615468
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,cross_class_oracle,PubMed,0.6926666666666667,0.011590225767142432,0.6860821910596435,0.010919013479808152,0.6973333333333334,0.018036999011291553
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,degree_aligned_random,CiteSeer,0.6423333333333333,0.02055075018906448,0.6176529954417269,0.021665240894575097,0.64,0.014000000000000012
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,degree_aligned_random,Cora,0.7353333333333333,0.009073771725877484,0.7239388769615259,0.00835664188761432,0.71,0.017776388834631195
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,degree_aligned_random,PubMed,0.7463333333333333,0.012220201853215595,0.7446016653519537,0.009532948479332384,0.7513333333333333,0.017473789896108236
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,feature_similar_cross_class,CiteSeer,0.56,0.016522711641858267,0.5420071800706147,0.016605816237492476,0.5626666666666668,0.011718930554164595
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,feature_similar_cross_class,Cora,0.6233333333333334,0.010263202878893762,0.612374839090939,0.00410350455639714,0.6006666666666667,0.013012814197295448
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,feature_similar_cross_class,PubMed,0.6506666666666666,0.013316656236958805,0.6480635757974974,0.018124510042344555,0.6506666666666666,0.01101514109457223
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,low_feature_similarity,CiteSeer,0.6276666666666667,0.026576932353703522,0.6024121236252578,0.02651033769460491,0.63,0.018330302779823376
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,low_feature_similarity,Cora,0.7079999999999999,0.008888194417315575,0.7057327772035297,0.013128880748542907,0.6853333333333333,0.01962990915244726
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,low_feature_similarity,PubMed,0.7423333333333333,0.0030550504633039084,0.7385506159568797,0.004328238976734288,0.7466666666666667,0.012055427546683414
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,random_inter_community,CiteSeer,0.6206666666666667,0.006429100507328652,0.5943407613611699,0.008954867338301049,0.6133333333333333,0.0050332229568471835
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,random_inter_community,Cora,0.7353333333333333,0.008504900548115348,0.7292112408102166,0.006698024110226099,0.7086666666666667,0.01101514109457223
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,random_inter_community,PubMed,0.7333333333333334,0.008386497083606082,0.7299477812053495,0.008431163807048756,0.734,0.014000000000000012
