dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,hp_ambig_scale,hp_base_alpha,hp_base_beta,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs
Cora,feature_similar_cross_class,0.3,2,FAA-Hybrid-as2.0-lp0.25-ln0.25,faa_hybrid,GCN,0.613,0.6098636731995398,0.584,0.09256559766763849,0.08022741629816804,0.0859560067681895,0.19997084973036006,0.6230869889259338,0.6077609658241272,13722,10978,1.401465892791748,0.25,0.25,0.3,2.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,2,FAA-Hybrid-as3.0-lp0.1-ln0.5,faa_hybrid,GCN,0.564,0.5568073184645799,0.55,0.0007288629737609329,0.0006317119393556538,0.0006768189509306261,0.19997084973036006,0.6230869889259338,0.5902714133262634,13722,10978,1.2732737064361572,0.1,0.5,0.3,3.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,2,FAA-Hybrid-as3.0-lp0.25-ln0.25,faa_hybrid,GCN,0.599,0.5899789394453704,0.59,0.11370262390670553,0.09854706253948199,0.10558375634517765,0.19997084973036006,0.6230869889259338,0.6121333241462708,13722,10978,1.2133164405822754,0.25,0.25,0.3,3.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,2,MCGC-cw0.5-lp0.1-ln0.5,mcgc,GCN,0.598,0.5919077346781846,0.57,0.016034985422740525,0.013897662665824383,0.014890016920473773,0.19997084973036006,0.6230869889259338,0.5961012840270996,13722,10978,2.043724298477173,0.1,0.5,0.3,,,,0.5,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,2,MCGC-cw0.5-lp0.25-ln0.25,mcgc,GCN,0.605,0.5964749404541924,0.588,0.08309037900874636,0.07201516108654453,0.07715736040609138,0.19997084973036006,0.6230869889259338,0.6081253290176392,13722,10978,2.102151393890381,0.25,0.25,0.3,,,,0.5,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,2,MCGC-cw1.0-lp0.1-ln0.5,mcgc,GCN,0.598,0.5928464023320481,0.576,0.033527696793002916,0.029058749210360075,0.0311336717428088,0.19997084973036006,0.6230869889259338,0.5999271273612976,13722,10978,2.043375015258789,0.1,0.5,0.3,,,,1.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,2,MCGC-cw1.0-lp0.25-ln0.25,mcgc,GCN,0.597,0.5921434485540693,0.576,0.08381924198250729,0.07264687302590019,0.077834179357022,0.19997084973036006,0.6230869889259338,0.6063035130500793,13722,10978,2.036963701248169,0.25,0.25,0.3,,,,1.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,2,MCGC-cw2.0-lp0.1-ln0.5,mcgc,GCN,0.607,0.6078720594294568,0.58,0.08527696793002916,0.0739102969046115,0.07918781725888326,0.19997084973036006,0.6230869889259338,0.6090362668037415,13722,10978,2.1031711101531982,0.1,0.5,0.3,,,,2.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,2,MCGC-cw2.0-lp0.25-ln0.25,mcgc,GCN,0.621,0.6176140324749625,0.592,0.08892128279883382,0.07706885660138976,0.08257191201353638,0.19997084973036006,0.6230869889259338,0.6101293563842773,13722,10978,2.199282169342041,0.25,0.25,0.3,,,,2.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,2,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.616,0.6131608433944782,0.58,0.14650145772594753,0.1269740998104864,0.13604060913705582,0.19997084973036006,0.6230869889259338,0.6223355531692505,13722,10978,2.110732316970825,0.1,0.5,0.3,,,,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,2,MCGC-cw3.0-lp0.25-ln0.25,mcgc,GCN,0.594,0.5854709679854916,0.582,0.09329446064139942,0.08085912823752368,0.08663282571912014,0.19997084973036006,0.6230869889259338,0.6114045977592468,13722,10978,2.0276801586151123,0.25,0.25,0.3,,,,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,2,Random-Matched,random_matched,GCN,0.64,0.6332986380515326,0.63,0.22813411078717202,0.19772583701831964,0.21184433164128597,0.19997084973036006,0.6230869889259338,0.6236108541488647,13722,10978,0.7571897506713867,,,,,,,,,
Cora,cross_class_oracle,0.3,0,Feature-only,feature_only,GCN,0.681,0.6510154803112312,0.654,0.5080174927113703,0.4403032217308907,0.4717428087986464,0.19997084973036006,0.6230869889259338,0.6870103478431702,13722,10978,0.7567448616027832,,,,,,,,,
Cora,cross_class_oracle,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.662,0.6508818337134246,0.646,0.3965014577259475,0.34365129500947567,0.3681895093062605,0.19997084973036006,0.6230869889259338,0.6651484370231628,13722,10978,1.628006935119629,0.1,0.5,0.3,,,,,,
